Epoch: [8][96/97], lr: 0.01000	Time 0.305 (0.320)	Data 0.000 (0.020)	Loss 4.8719 (4.1353)	Prec@1 67.797 (71.038)	Prec@5 95.763 (96.074)
Epoch: [9][0/97], lr: 0.01000	Time 0.406 (0.406)	Data 0.225 (0.225)	Loss 3.9304 (3.9304)	Prec@1 71.094 (71.094)	Prec@5 96.094 (96.094)
Epoch: [9][10/97], lr: 0.01000	Time 0.313 (0.328)	Data 0.000 (0.036)	Loss 3.3694 (3.9877)	Prec@1 78.906 (71.733)	Prec@5 96.094 (96.236)
Epoch: [9][20/97], lr: 0.01000	Time 0.312 (0.322)	Data 0.000 (0.027)	Loss 4.1790 (4.0334)	Prec@1 68.750 (71.726)	Prec@5 96.094 (96.280)
Epoch: [9][30/97], lr: 0.01000	Time 0.308 (0.321)	Data 0.000 (0.024)	Loss 4.4980 (3.9906)	Prec@1 67.188 (72.077)	Prec@5 96.875 (96.220)
Epoch: [9][40/97], lr: 0.01000	Time 0.316 (0.321)	Data 0.000 (0.022)	Loss 3.4927 (3.9938)	Prec@1 75.000 (72.161)	Prec@5 98.438 (96.341)
Epoch: [9][50/97], lr: 0.01000	Time 0.313 (0.320)	Data 0.000 (0.021)	Loss 4.0368 (3.9485)	Prec@1 71.875 (72.626)	Prec@5 98.438 (96.415)
Epoch: [9][60/97], lr: 0.01000	Time 0.312 (0.320)	Data 0.000 (0.021)	Loss 3.3862 (3.9719)	Prec@1 75.000 (72.554)	Prec@5 98.438 (96.542)
Epoch: [9][70/97], lr: 0.01000	Time 0.320 (0.319)	Data 0.000 (0.020)	Loss 4.0640 (3.9523)	Prec@1 73.438 (72.711)	Prec@5 94.531 (96.457)
Epoch: [9][80/97], lr: 0.01000	Time 0.312 (0.319)	Data 0.000 (0.020)	Loss 3.5302 (3.9633)	Prec@1 77.344 (72.859)	Prec@5 99.219 (96.441)
Epoch: [9][90/97], lr: 0.01000	Time 0.311 (0.319)	Data 0.000 (0.019)	Loss 3.8815 (3.9813)	Prec@1 77.344 (72.794)	Prec@5 92.969 (96.257)
Epoch: [9][96/97], lr: 0.01000	Time 0.307 (0.318)	Data 0.000 (0.020)	Loss 3.4021 (3.9661)	Prec@1 77.119 (72.924)	Prec@5 96.610 (96.300)
Epoch: [10][0/97], lr: 0.01000	Time 0.374 (0.374)	Data 0.213 (0.213)	Loss 4.0556 (4.0556)	Prec@1 71.875 (71.875)	Prec@5 97.656 (97.656)
Epoch: [10][10/97], lr: 0.01000	Time 0.317 (0.330)	Data 0.000 (0.035)	Loss 4.2422 (3.9525)	Prec@1 68.750 (72.514)	Prec@5 96.875 (97.372)
Epoch: [10][20/97], lr: 0.01000	Time 0.312 (0.323)	Data 0.000 (0.026)	Loss 3.8516 (3.9229)	Prec@1 75.000 (73.586)	Prec@5 97.656 (97.247)
Epoch: [10][30/97], lr: 0.01000	Time 0.313 (0.321)	Data 0.000 (0.023)	Loss 4.2975 (3.9242)	Prec@1 70.312 (73.513)	Prec@5 97.656 (97.152)
Epoch: [10][40/97], lr: 0.01000	Time 0.314 (0.320)	Data 0.000 (0.022)	Loss 4.0320 (3.9710)	Prec@1 72.656 (72.866)	Prec@5 96.875 (96.894)
Epoch: [10][50/97], lr: 0.01000	Time 0.314 (0.319)	Data 0.000 (0.021)	Loss 3.0539 (3.9285)	Prec@1 77.344 (72.763)	Prec@5 96.094 (96.906)
Epoch: [10][60/97], lr: 0.01000	Time 0.313 (0.319)	Data 0.000 (0.020)	Loss 3.9600 (3.9399)	Prec@1 70.312 (72.823)	Prec@5 95.312 (96.747)
Epoch: [10][70/97], lr: 0.01000	Time 0.329 (0.319)	Data 0.000 (0.020)	Loss 3.1569 (3.9229)	Prec@1 77.344 (72.909)	Prec@5 98.438 (96.776)
