Epoch: [9][70/97], lr: 0.01000	Time 0.337 (0.333)	Data 0.000 (0.020)	Loss 3.7363 (3.9904)	Prec@1 69.531 (71.886)	Prec@5 97.656 (96.677)
Epoch: [9][80/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 4.6666 (3.9981)	Prec@1 71.094 (72.029)	Prec@5 96.875 (96.721)
Epoch: [9][90/97], lr: 0.01000	Time 0.324 (0.333)	Data 0.000 (0.019)	Loss 4.8186 (3.9992)	Prec@1 65.625 (72.004)	Prec@5 94.531 (96.695)
Epoch: [9][96/97], lr: 0.01000	Time 0.327 (0.332)	Data 0.000 (0.020)	Loss 4.0838 (3.9966)	Prec@1 71.186 (72.022)	Prec@5 99.153 (96.735)
Epoch: [10][0/97], lr: 0.01000	Time 0.430 (0.430)	Data 0.198 (0.198)	Loss 4.4927 (4.4927)	Prec@1 70.312 (70.312)	Prec@5 98.438 (98.438)
Epoch: [10][10/97], lr: 0.01000	Time 0.342 (0.344)	Data 0.000 (0.033)	Loss 3.8530 (3.8627)	Prec@1 74.219 (73.722)	Prec@5 99.219 (97.230)
Epoch: [10][20/97], lr: 0.01000	Time 0.327 (0.337)	Data 0.000 (0.025)	Loss 3.6009 (3.8872)	Prec@1 75.000 (73.289)	Prec@5 97.656 (97.210)
Epoch: [10][30/97], lr: 0.01000	Time 0.330 (0.336)	Data 0.000 (0.022)	Loss 4.2660 (3.9552)	Prec@1 71.875 (73.160)	Prec@5 92.969 (96.799)
Epoch: [10][40/97], lr: 0.01000	Time 0.325 (0.334)	Data 0.000 (0.021)	Loss 4.7222 (3.9970)	Prec@1 66.406 (72.580)	Prec@5 96.094 (96.532)
Epoch: [10][50/97], lr: 0.01000	Time 0.324 (0.333)	Data 0.000 (0.020)	Loss 4.3524 (3.9954)	Prec@1 73.438 (72.518)	Prec@5 95.312 (96.645)
Epoch: [10][60/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 3.9595 (3.9860)	Prec@1 76.562 (72.707)	Prec@5 96.094 (96.657)
Epoch: [10][70/97], lr: 0.01000	Time 0.324 (0.332)	Data 0.000 (0.019)	Loss 3.7965 (4.0000)	Prec@1 75.781 (72.678)	Prec@5 95.312 (96.578)
Epoch: [10][80/97], lr: 0.01000	Time 0.328 (0.332)	Data 0.000 (0.019)	Loss 3.0877 (3.9726)	Prec@1 78.906 (72.946)	Prec@5 99.219 (96.470)
Epoch: [10][90/97], lr: 0.01000	Time 0.328 (0.331)	Data 0.000 (0.019)	Loss 3.9741 (3.9700)	Prec@1 72.656 (72.957)	Prec@5 96.094 (96.506)
Epoch: [10][96/97], lr: 0.01000	Time 0.341 (0.331)	Data 0.000 (0.020)	Loss 4.1195 (3.9609)	Prec@1 68.644 (72.949)	Prec@5 98.305 (96.574)
Epoch: [11][0/97], lr: 0.01000	Time 0.431 (0.431)	Data 0.236 (0.236)	Loss 4.4504 (4.4504)	Prec@1 71.875 (71.875)	Prec@5 96.094 (96.094)
Epoch: [11][10/97], lr: 0.01000	Time 0.328 (0.344)	Data 0.000 (0.036)	Loss 4.2177 (3.8144)	Prec@1 69.531 (73.580)	Prec@5 95.312 (97.017)
Epoch: [11][20/97], lr: 0.01000	Time 0.332 (0.338)	Data 0.000 (0.027)	Loss 4.2507 (3.9297)	Prec@1 70.312 (72.693)	Prec@5 94.531 (96.540)
Epoch: [11][30/97], lr: 0.01000	Time 0.328 (0.337)	Data 0.000 (0.024)	Loss 3.8215 (3.8754)	Prec@1 69.531 (73.337)	Prec@5 97.656 (96.799)
Epoch: [11][40/97], lr: 0.01000	Time 0.326 (0.336)	Data 0.000 (0.022)	Loss 3.9134 (3.9039)	Prec@1 72.656 (73.018)	Prec@5 99.219 (97.104)
Epoch: [11][50/97], lr: 0.01000	Time 0.322 (0.334)	Data 0.000 (0.021)	Loss 4.6910 (3.9388)	Prec@1 67.188 (72.886)	Prec@5 94.531 (97.044)
