Epoch: [1][300/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 3.8964 (4.1935)	Prec@1 14.844 (11.101)	Prec@5 38.672 (29.954)
Epoch: [1][310/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 3.7807 (4.1844)	Prec@1 17.578 (11.246)	Prec@5 39.062 (30.210)
Epoch: [1][320/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 3.9705 (4.1775)	Prec@1 14.453 (11.365)	Prec@5 37.109 (30.390)
Epoch: [1][330/391], lr: 0.00400	Time 0.063 (0.064)	Data 0.000 (0.002)	Loss 4.1436 (4.1717)	Prec@1 12.891 (11.430)	Prec@5 32.812 (30.540)
Epoch: [1][340/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 3.8179 (4.1639)	Prec@1 17.188 (11.526)	Prec@5 38.281 (30.722)
Epoch: [1][350/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 3.9535 (4.1581)	Prec@1 10.938 (11.571)	Prec@5 36.719 (30.844)
Epoch: [1][360/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 3.9075 (4.1516)	Prec@1 15.234 (11.671)	Prec@5 39.062 (31.027)
Epoch: [1][370/391], lr: 0.00400	Time 0.062 (0.064)	Data 0.000 (0.002)	Loss 3.9164 (4.1452)	Prec@1 14.844 (11.745)	Prec@5 36.328 (31.192)
Epoch: [1][380/391], lr: 0.00400	Time 0.071 (0.064)	Data 0.000 (0.002)	Loss 3.8813 (4.1389)	Prec@1 13.672 (11.792)	Prec@5 33.594 (31.328)
Epoch: [1][390/391], lr: 0.00400	Time 0.060 (0.064)	Data 0.000 (0.002)	Loss 4.0311 (4.1342)	Prec@1 12.500 (11.863)	Prec@5 31.875 (31.431)
Epoch: 1, Gated Network Weight Gate = [0]:0.48 [1]:0.52 
val Results: Prec@1 15.600 Prec@5 37.370 Loss 3.95397
Best Prec@1: 15.600

Epoch: [2][0/391], lr: 0.00600	Time 0.481 (0.481)	Data 0.401 (0.401)	Loss 3.8954 (3.8954)	Prec@1 11.328 (11.328)	Prec@5 33.594 (33.594)
Epoch: [2][10/391], lr: 0.00600	Time 0.062 (0.100)	Data 0.000 (0.037)	Loss 3.8536 (3.9021)	Prec@1 13.672 (14.879)	Prec@5 42.188 (36.009)
Epoch: [2][20/391], lr: 0.00600	Time 0.061 (0.082)	Data 0.000 (0.020)	Loss 3.9299 (3.9231)	Prec@1 12.109 (14.453)	Prec@5 36.719 (36.161)
Epoch: [2][30/391], lr: 0.00600	Time 0.060 (0.076)	Data 0.000 (0.014)	Loss 3.9289 (3.9392)	Prec@1 15.234 (14.365)	Prec@5 39.844 (35.874)
Epoch: [2][40/391], lr: 0.00600	Time 0.061 (0.072)	Data 0.000 (0.011)	Loss 4.0484 (3.9357)	Prec@1 14.453 (14.405)	Prec@5 36.328 (36.261)
